序号,视频链接,博主名称,视频标题,标签,类别,播放量,点赞数,投币数,收藏数,分享数,发布时间,视频简介,视频时长,封面URL,封面路径,UP主粉丝数,视频评论数,视频弹幕数
1,https://www.bilibili.com/video/BV1fc2eBkEMS,特厨隋坡,特厨探店|开车一小时才找到的齐齐哈尔神店！—华松饭店,"['bilibili食界杯', '美食', '隋坡', '华松饭店', '美食探店']",['美食侦探'],1122323,95187,6259,11412,5142,2025/12/5 11:30,,4:44,http://i0.hdslb.com/bfs/archive/81fa185fd822f78e23969cdfd9d5f0f2d6184686.jpg,covers/115661086918919.jpg,2706864,3170,1862
2,https://www.bilibili.com/video/BV1Fr2eBjETh,周大签,今天炒火锅底料太香了,"['火锅', '火锅底料', 'Vlog']",['美食记录'],1441594,136188,3234,7440,3554,2025/12/4 17:31,,1:21,http://i1.hdslb.com/bfs/archive/872faf2827c5e8b76c3854f7402533cf9e21d984.jpg,covers/115660583666895.jpg,274791,2895,1424
3,https://www.bilibili.com/video/BV1ArSsBKEZ8,日食记,今天我斥巨资请大家吃席。,"['舌尖真探事务所', '汕头', '中国喜宴', '三元食堂', '潮汕', '龙虾', '鲍鱼', '流水席', '探店', '东星斑']",['美食制作'],1426477,80678,67821,18805,4804,2025/12/2 17:24,凌晨一点起来买菜，帮我看看值吗？,20:41,http://i0.hdslb.com/bfs/archive/5156c6873867a02ea7e447a6a64ec1f855e57cde.jpg,covers/115649191938546.jpg,9100042,1825,2534
4,https://www.bilibili.com/video/BV1T6S4ByEqT,雨琪在芬兰,四川妹子在芬兰市中心摆摊创业卖鸡蛋灌饼糖葫芦！冬日餐车开张第一天引爆街头大爆单！各国老外瞳孔地震大排长龙！,"['美食创业日记', '摆摊创业', '海外摆摊', '中国美食餐车', '鸡蛋灌饼', '糖葫芦', '文化输出', '老外吃中餐', '云南米线', '外国人吃中国美食']",['美食记录'],3561336,122302,65274,36389,1313,2025/12/2 20:16,"锣鼓喧天鞭炮齐鸣！重大好消息！我们的中国美食餐车终于重返芬兰市中心摆摊卖街头小吃啦！
冬日餐车开张第一天居然遭遇各国老外组成的超大人流！超级爆单的一天简直忙不过来！现做现吃的鸡蛋灌饼吃让世界各国的客人瞳孔地震！意大利夫妻疯狂点赞热乎云南米线！太阳花糖葫芦让食客一次性买七串！冬天来了热饮更是让各国老外疯狂点单！没想到这次又有回头客来支持我们，疯狂催我们开店还送上暖心祝福让我们超级感动！冬日餐车我们做了很多新升级是真的想尽我们的绵薄之力推广中国美食！中国美食餐车花了很多心思，真的是诚意满满！希望大家看的开心！！！爱你们！！！

*本视频含合作【妙界】谢谢大家的支持，我们才有合作的机会！",29:40:00,http://i0.hdslb.com/bfs/archive/f6ad4029e06ea625239070c7250a39b8bacdbcd3.jpg,covers/115649829476296.jpg,2152518,3046,9117
5,https://www.bilibili.com/video/BV1SW2eBoEAk,八零徐姥姥,两千块钱买的肘子真是第一了,"['生活记录', '乡村', 'Vlog']",['三农'],744116,58673,2469,2676,904,2025/12/4 18:45,,6:48,http://i0.hdslb.com/bfs/archive/c4cf52b6ee2abddfe21b3a4d7d9e0681b4b0dfe2.jpg,covers/115660835264292.jpg,962339,1257,1340
6,https://www.bilibili.com/video/BV17V24BHEP8,冷水煮乐器,反着评分吃一天！？日本最难吃餐厅究竟多逆天？不听劝实际探店后我的感受是…,"['记录我的美食日常', '日本', '日本旅游', '旅游', 'vlog', '餐厅', '避雷', '探店']",['出行'],718000,29564,15580,5551,1238,2025/12/3 17:54,up主这次的简介简直了,16:03,http://i0.hdslb.com/bfs/archive/ceaaa47727c41a55ac6a0d7d2efffe0c10456a2e.jpg,covers/115655013571930.jpg,1284887,1443,4945
7,https://www.bilibili.com/video/BV12o2jB3E74,橙飞一下,上海汉堡节挑战，75秒吃三层汉堡，奖金池600元起，能成功吗？,"['舌尖真探事务所', '街头美食', '美食', '上海', '汉堡', '挑战', '探店', '汉堡节', '免单挑战']",['美食侦探'],1100183,30436,3879,2926,3549,2025/12/5 22:13,"11月28日-12月9日，在上海万象城举办汉堡节，
全国好几十家汉堡餐厅来参展。
上海小伙伴有兴趣可以去看看，毕竟可以一次性吃到全国各地特色汉堡。

还有一家【leo利噢汉堡】，
搞了个挑战，
75秒内吃完三层汉堡（还有两片培根一个煎蛋），
即可获得奖金，600元起步。
失败支付99元，同时奖金池累加奖金100元。

总体而言，难度挺大，很多人都失败了，
抱着“不想排队，直接花钱买个汉堡”的心态，可以来试一试。

下期预告：
汉堡节其他商家汉堡吃过瘾。",18:19,http://i2.hdslb.com/bfs/archive/d3a97e3f2fd25ecb3acb1fbbcbda414850aa67ef.jpg,covers/115667344820203.jpg,2218797,1678,4016
8,https://www.bilibili.com/video/BV1Nm2YBpEeK,蔡同学盐焗鹌鹑蛋,98年在佛山摆摊卖盐焗鹌鹑蛋的一天,"['记录我的美食日常', '街头美食', '广东', 'Vlog', '盐焗鹌鹑蛋']",['日常'],439708,48138,22806,3751,318,2025/12/4 12:20,,5:08,http://i2.hdslb.com/bfs/archive/2de1a52d337d878e809b26c4956e63eefc0dc698.jpg,covers/115659358865823.jpg,24652,965,394
9,https://www.bilibili.com/video/BV1Qr25BCEo7,蚊小九er,数学课偷吃辣条被抓不得已攻击家里的厨房,"['美团神券', '品质外卖', '神券膨胀', '半价周末', '美团半价真香定律', '美团半价券的打开方式', '外卖测评']",['搞笑'],901159,40735,645,6324,523,2025/12/5 12:00,,6:17,http://i2.hdslb.com/bfs/archive/93bf4efeb35ad54bad9e249d55964235d0389f10.jpg,covers/115664794688964.jpg,540815,437,615
10,https://www.bilibili.com/video/BV16r2eBLECH,方芳的快乐生活,宅家和闺蜜狂炫超吸汁宁夏辣糊糊，一锅根本不够造！,"['舌尖真探事务所', '美食', '火锅', '吃货日记', '宁夏辣糊糊']",['美食侦探'],765430,23365,8602,2994,1286,2025/12/4 17:32,,18:43,http://i2.hdslb.com/bfs/archive/f6c1682e918d193ac17b8b7dba020cc27dc62af4.jpg,covers/115660583606934.jpg,1902489,963,1598
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
